course_num,course_name,description
CMPT 404,"Cryptography and Cryptographic Protocols
		
			(3)","The main cryptographic tools and primitives, their use in cryptographic applications; security and weaknesses of the current protocols. The notion of security, standard encryption schemes, digital signatures, zero-knowledge, selected other topics. Prerequisite: (MACM 201orCMPT 210) with a minimum grade of C-.CMPT 307and308are recommended."
CMPT 405,"Design and Analysis of Computing Algorithms
		
			(3)","Models of computation, methods of algorithm design; complexity of algorithms; algorithms on graphs, NP-completeness, approximation algorithms, selected topics. Prerequisite:CMPT 307with a minimum grade of C-."
CMPT 406,"Computational Geometry
		
			(3)",Mathematical preliminaries; convex hull algorithms; intersection problems; closest-point problems and their applications. Prerequisite:CMPT 307with a minimum grade of C-.
CMPT 407,"Computational Complexity
		
			(3)","Study of what is, and is not, efficiently computable with limited resources (time, space, randomness, parallelism, nondeterminism, interaction, and quantum). Complexity classes and connections among them. Interplay between complexity and algorithm design. Prerequisite:CMPT 307with a minimum grade of C-.CMPT 308is recommended."
CMPT 409,"Special Topics in Theoretical Computing Science
		
			(3)",Current topics in theoretical computing science depending on faculty and student interest. Prerequisite:CMPT 307with a minimum grade of C-.
CMPT 410,"Machine Learning
		
			(3)","Machine Learning (ML) is the study of computer algorithms that improve automatically through experience. This course introduces students to the theory and practice of machine learning, and covers mathematical foundations, models such as (generalized) linear models, kernel methods and neural networks, loss functions for classification and regression, and optimization methods. Prerequisite:CMPT 310andMACM 316, both with a minimum grade of C-. Students with credit forCMPT 419under the title ""Machine Learning"" may not take this course for further credit."
CMPT 411,"Knowledge Representation
		
			(3)","Formal and foundational issues dealing with the representation of knowledge in artificial intelligence systems are covered. Questions of semantics, incompleteness, non-monotonicity and others will be examined. As well, particular approaches, such as procedural or semantic network, may be discussed. Prerequisite: Completion of nine units in Computing Science upper division courses or, in exceptional cases, permission of the instructor."
CMPT 412,"Computer Vision
		
			(3)","Computational approaches to image and video understanding in relation to theories, the operation of the human visual system, and practical application areas such as robotics. Topics include image classification, object detection, image segmentation based mostly on deep neural network and to some extent classical techniques, and 3D reconstruction. Also covers state-of-the-art deep neural architectures for computer vision applications, such as metric learning, generative adversarial networks, and recurrent neural networks. Prerequisite:CMPT 361andMATH 152, both with a minimum grade of C-."
CMPT 413,"Computational Linguistics
		
			(3)","This course examines the theoretical and applied problems of constructing and modelling systems, which aim to extract and represent the meaning of natural language sentences or of whole discourses, but drawing on contributions from the fields of linguistics, cognitive psychology, artificial intelligence and computing science. Prerequisite: Completion of nine units in Computing Science upper division courses or, in exceptional cases, permission of the instructor."
CMPT 415,"Special Research Projects
		
			(3)",To be individually arranged. Prerequisite: Permission of Instructor and School.
